game_id,season,season_type,game_date,game_date_time,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,team_home_away,team_score,team_winner,assists,blocks,defensive_rebounds,field_goal_pct,field_goals_made,field_goals_attempted,flagrant_fouls,fouls,free_throw_pct,free_throws_made,free_throws_attempted,largest_lead,offensive_rebounds,steals,team_turnovers,technical_fouls,three_point_field_goal_pct,three_point_field_goals_made,three_point_field_goals_attempted,total_rebounds,total_technical_fouls,total_turnovers,turnovers,opponent_team_id,opponent_team_uid,opponent_team_slug,opponent_team_location,opponent_team_name,opponent_team_abbreviation,opponent_team_display_name,opponent_team_short_display_name,opponent_team_color,opponent_team_alternate_color,opponent_team_logo,opponent_team_score
264000010,2006,3,2006-03-20,2006-03-20T19:00:00.000000-0500,167,s:40~l:54~t:167,new-mexico-lobos,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,away,67,false,0,0,18,41.5,22,53,0,16,77.3,17,22,7,6,0,0,0,60.0,6,10,24,0,0,0,239,s:40~l:54~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,87
264000010,2006,3,2006-03-20,2006-03-20T19:00:00.000000-0500,239,s:40~l:54~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,home,87,true,0,0,21,45.8,33,72,0,21,85.7,12,14,20,14,0,0,0,50.0,9,18,35,0,0,0,167,s:40~l:54~t:167,new-mexico-lobos,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,67
264000004,2006,3,2006-03-18,2006-03-18T13:00:00.000000-0500,2393,s:40~l:54~t:2393,middle-tennessee-blue-raiders,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,MTSU,006db6,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,away,71,false,0,0,17,46.0,29,63,0,18,37.5,3,8,15,7,0,0,0,47.6,10,21,24,0,0,0,254,s:40~l:54~t:254,utah-utes,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,76
264000004,2006,3,2006-03-18,2006-03-18T13:00:00.000000-0500,254,s:40~l:54~t:254,utah-utes,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,home,76,true,0,0,26,44.8,26,58,0,10,90.5,19,21,10,9,0,0,0,33.3,5,15,35,0,0,0,2393,s:40~l:54~t:2393,middle-tennessee-blue-raiders,Middle Tennessee,Blue Raiders,MTSU,Middle Tennessee Blue Raiders,MTSU,006db6,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/2393.png,71
264000005,2006,3,2006-03-18,2006-03-18T15:30:00.000000-0500,2617,s:40~l:54~t:2617,stephen-f-austin-ladyjacks,Stephen F. Austin,Ladyjacks,SFA,Stephen F. Austin Ladyjacks,SF Austin,393996,bec0c2,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,away,61,false,0,0,15,40.0,26,65,0,13,80.0,8,10,0,7,0,0,0,11.1,1,9,22,0,0,0,9,s:40~l:54~t:9,arizona-state-sun-devils,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,80
264000005,2006,3,2006-03-18,2006-03-18T15:30:00.000000-0500,9,s:40~l:54~t:9,arizona-state-sun-devils,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,home,80,true,0,0,28,49.3,33,67,0,14,80.0,12,15,28,18,0,0,0,25.0,2,8,46,0,0,0,2617,s:40~l:54~t:2617,stephen-f-austin-ladyjacks,Stephen F. Austin,Ladyjacks,SFA,Stephen F. Austin Ladyjacks,SF Austin,393996,bec0c2,https://a.espncdn.com/i/teamlogos/ncaa/500/2617.png,61
264000009,2006,3,2006-03-18,2006-03-18T20:00:00.000000-0500,2464,s:40~l:54~t:2464,northern-arizona-lumberjacks,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,away,56,false,0,0,27,27.9,17,61,0,16,76.9,20,26,2,8,0,0,0,18.2,2,11,35,0,0,0,239,s:40~l:54~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,74
264000009,2006,3,2006-03-18,2006-03-18T20:00:00.000000-0500,239,s:40~l:54~t:239,baylor-bears,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,home,74,true,0,0,31,44.1,30,68,0,20,72.2,13,18,23,11,0,0,0,11.1,1,9,42,0,0,0,2464,s:40~l:54~t:2464,northern-arizona-lumberjacks,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,56
264000008,2006,3,2006-03-18,2006-03-18T22:30:00.000000-0500,167,s:40~l:54~t:167,new-mexico-lobos,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,away,83,true,0,0,25,48.2,27,56,0,18,82.1,23,28,31,9,0,0,0,26.1,6,23,34,0,0,0,57,s:40~l:54~t:57,florida-gators,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,59
264000008,2006,3,2006-03-18,2006-03-18T22:30:00.000000-0500,57,s:40~l:54~t:57,florida-gators,Florida,Gators,FLA,Florida Gators,Florida,0021a5,fa4616,https://a.espncdn.com/i/teamlogos/ncaa/500/57.png,home,59,false,0,0,16,33.9,21,62,0,21,68.8,11,16,0,12,0,0,0,23.1,6,26,28,0,0,0,167,s:40~l:54~t:167,new-mexico-lobos,New Mexico,Lobos,UNM,New Mexico Lobos,New Mexico,000000,231f20,https://a.espncdn.com/i/teamlogos/ncaa/500/167.png,83
260710042,2006,2,2006-03-12,2006-03-12T14:00:00.000000-0500,104,s:40~l:54~t:104,boston-university-terriers,Boston University,Terriers,BU,Boston University Terriers,Boston Univ,cc0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,away,56,false,0,0,18,33.9,21,62,0,15,84.6,11,13,0,11,0,0,0,23.1,3,13,29,0,0,0,42,s:40~l:54~t:42,hartford-hawks,Hartford,Hawks,HART,Hartford Hawks,Hartford,d60008,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,75
260710042,2006,2,2006-03-12,2006-03-12T14:00:00.000000-0500,42,s:40~l:54~t:42,hartford-hawks,Hartford,Hawks,HART,Hartford Hawks,Hartford,d60008,000000,https://a.espncdn.com/i/teamlogos/ncaa/500/42.png,home,75,true,0,0,28,50.9,29,57,0,11,66.7,8,12,21,8,0,0,0,45.0,9,20,36,0,0,0,104,s:40~l:54~t:104,boston-university-terriers,Boston University,Terriers,BU,Boston University Terriers,Boston Univ,cc0000,ffffff,https://a.espncdn.com/i/teamlogos/ncaa/500/104.png,56
260710282,2006,2,2006-03-12,2006-03-12T16:05:00.000000-0500,2623,s:40~l:54~t:2623,missouri-state-lady-bears,Missouri State,Lady Bears,MOST,Missouri State Lady Bears,Missouri St,5F0000,e8e8e8,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,away,64,true,0,0,23,40.4,19,47,0,10,80.0,24,30,11,9,0,0,0,18.2,2,11,32,0,0,0,282,s:40~l:54~t:282,indiana-state-sycamores,Indiana State,Sycamores,INST,Indiana State Sycamores,Indiana St,00669a,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,55
260710282,2006,2,2006-03-12,2006-03-12T16:05:00.000000-0500,282,s:40~l:54~t:282,indiana-state-sycamores,Indiana State,Sycamores,INST,Indiana State Sycamores,Indiana St,00669a,f0f0f0,https://a.espncdn.com/i/teamlogos/ncaa/500/282.png,home,55,false,0,0,19,33.3,20,60,0,24,92.9,13,14,8,11,0,0,0,28.6,2,7,30,0,0,0,2623,s:40~l:54~t:2623,missouri-state-lady-bears,Missouri State,Lady Bears,MOST,Missouri State Lady Bears,Missouri St,5F0000,e8e8e8,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,64
260700295,2006,2,2006-03-11,2006-03-11T12:00:00.000000-0500,256,s:40~l:54~t:256,james-madison-dukes,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,away,54,false,0,0,20,28.1,16,57,0,15,84.6,22,26,4,9,0,0,0,0.0,0,11,29,0,0,0,295,s:40~l:54~t:295,old-dominion-monarchs,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,58
260700295,2006,2,2006-03-11,2006-03-11T12:00:00.000000-0500,295,s:40~l:54~t:295,old-dominion-monarchs,Old Dominion,Monarchs,ODU,Old Dominion Monarchs,Old Dominion,00507d,a1d2f1,https://a.espncdn.com/i/teamlogos/ncaa/500/295.png,home,58,true,0,0,26,41.8,23,55,0,20,62.5,10,16,8,9,0,0,0,20.0,2,10,35,0,0,0,256,s:40~l:54~t:256,james-madison-dukes,James Madison,Dukes,JMU,James Madison Dukes,James Madison,450084,cbb778,https://a.espncdn.com/i/teamlogos/ncaa/500/256.png,54
260702529,2006,2,2006-03-11,2006-03-11T14:00:00.000000-0500,2514,s:40~l:54~t:2514,quinnipiac-bobcats,Quinnipiac,Bobcats,QUIN,Quinnipiac Bobcats,Quinnipiac,041B43,,https://a.espncdn.com/i/teamlogos/ncaa/500/2514.png,away,65,false,0,0,18,34.9,22,63,0,22,77.3,17,22,7,7,0,0,0,26.1,6,23,25,0,0,0,2529,s:40~l:54~t:2529,sacred-heart-pioneers,Sacred Heart,Pioneers,SHU,Sacred Heart Pioneers,Sacred Heart,a40012,c29472,https://a.espncdn.com/i/teamlogos/ncaa/500/2529.png,69
