season,athlete_id,athlete_display_name,athlete_first_name,athlete_last_name,athlete_position_abbreviation,athlete_jersey,team_id,team_display_name,category,stat_label,stat_name,stat_display_name,stat_description,display_value,value
2007,5229,,,,,,2628,TCU Horned Frogs,averages,GP,gamesPlayed,Games Played,Games Played,9,9.0
2007,5229,,,,,,2628,TCU Horned Frogs,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,6.2,6.2
2007,5229,,,,,,2628,TCU Horned Frogs,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,2.2,2.2
2007,5229,,,,,,2628,TCU Horned Frogs,averages,AST,avgAssists,Assists Per Game,The average assists per game.,1.1,1.1
2007,5229,,,,,,2628,TCU Horned Frogs,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.3,1.3
2007,5229,,,,,,2628,TCU Horned Frogs,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.2,0.2
2007,5229,,,,,,2628,TCU Horned Frogs,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,1.9,1.9
2007,5229,,,,,,2628,TCU Horned Frogs,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,2.4-7.4,
2007,5229,,,,,,2628,TCU Horned Frogs,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,32.8,32.8
2007,5229,,,,,,2628,TCU Horned Frogs,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.9-2.8,
2007,5229,,,,,,2628,TCU Horned Frogs,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.0,32.0
2007,5229,,,,,,2628,TCU Horned Frogs,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,0.4-0.4,
2007,5229,,,,,,2628,TCU Horned Frogs,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,100.0,100.0
2007,5229,,,,,,2628,TCU Horned Frogs,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,2.3,2.3
2007,5229,,,,,,2628,TCU Horned Frogs,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,0.4,0.4
2007,5229,,,,,,2628,TCU Horned Frogs,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,1.8,1.8
2007,5229,,,,,,2628,TCU Horned Frogs,totals,PTS,points,Points,The number of points scored.,56,56.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,4,4.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,DR,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,16,16.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,20,20.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",10,10.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,12,12.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",2,2.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,17,17.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,22-67,
2007,5229,,,,,,2628,TCU Horned Frogs,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,32.8,32.8
2007,5229,,,,,,2628,TCU Horned Frogs,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,8-25,
2007,5229,,,,,,2628,TCU Horned Frogs,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,32.0,32.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,4-4,
2007,5229,,,,,,2628,TCU Horned Frogs,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,100.0,100.0
2007,5229,,,,,,2628,TCU Horned Frogs,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,21,21.0
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,DD2,doubleDouble,Double Double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,TD3,tripleDouble,Triple Double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,0.6,0.6
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,STL/TO,stealTurnoverRatio,Steal To Turnover Ratio,The number of steals per turnover,0.7,0.7
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,0.836,0.836
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.39,0.39
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,TECH,technicalFouls,Technical Fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,DQ,disqualifications,Disqualifications,The number of times a player reached the foul limit.,0,0.0
2007,5229,,,,,,2628,TCU Horned Frogs,miscellaneous,EJECT,ejections,Ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,GP,gamesPlayed,Games Played,Games Played,6,6.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,9.0,9.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,3.7,3.7
2007,5239,,,,,,189,Bowling Green Falcons,averages,AST,avgAssists,Assists Per Game,The average assists per game.,3.5,3.5
2007,5239,,,,,,189,Bowling Green Falcons,averages,STL,avgSteals,Steals Per Game,The average steals per game.,1.7,1.7
2007,5239,,,,,,189,Bowling Green Falcons,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.2,0.2
2007,5239,,,,,,189,Bowling Green Falcons,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,2.0,2.0
2007,5239,,,,,,189,Bowling Green Falcons,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,2.0-7.7,
2007,5239,,,,,,189,Bowling Green Falcons,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,26.1,26.1
2007,5239,,,,,,189,Bowling Green Falcons,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,1.5-3.2,
2007,5239,,,,,,189,Bowling Green Falcons,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,47.4,47.4
2007,5239,,,,,,189,Bowling Green Falcons,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,3.5-5.3,
2007,5239,,,,,,189,Bowling Green Falcons,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,65.6,65.6
2007,5239,,,,,,189,Bowling Green Falcons,averages,PF,avgFouls,Fouls Per Game,The average fouls committed per game.,1.7,1.7
2007,5239,,,,,,189,Bowling Green Falcons,averages,OR,avgOffensiveRebounds,Offensive Rebounds Per Game,The average offensive rebounds per game.,1.2,1.2
2007,5239,,,,,,189,Bowling Green Falcons,averages,DR,avgDefensiveRebounds,Defensive Rebounds Per Game,The average defensive rebounds per game.,2.5,2.5
2007,5239,,,,,,189,Bowling Green Falcons,totals,PTS,points,Points,The number of points scored.,54,54.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,OR,offensiveRebounds,Offensive Rebounds,The number of times when the offense obtains the possession of the ball after a missed shot.,7,7.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,DR,defensiveRebounds,Defensive Rebounds,The number of times when the defense obtains the possession of the ball after a missed shot by the offense.,15,15.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,REB,totalRebounds,Rebounds,The total number of rebounds for a team or player,22,22.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,AST,assists,Assists,"The number of times a player who passes the ball to a teammate in a way that leads to a score by field goal, meaning that he or she was ""assisting"" in the basket. There is some judgment involved in deciding whether a passer should be credited with an assist.",21,21.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,STL,steals,Steals,The number of times a defensive player forced a turnover by intercepting or deflecting a pass or a dribble of an offensive player.,10,10.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,BLK,blocks,Blocks,"Short for blocked shot, number of times when a defensive player legally deflects a field goal attempt from an offensive player.",1,1.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,TO,turnovers,Turnovers,The number of times a player loses possession to the other team.,12,12.0
2007,5239,,,,,,189,Bowling Green Falcons,totals,FG,fieldGoalsMade-fieldGoalsAttempted,Field Goals Made-Attempted,The number of times a 2pt field goal was made.-The number of times a 2pt field goal was attempted.,12-46,
2007,5239,,,,,,189,Bowling Green Falcons,totals,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,26.1,26.1
2007,5239,,,,,,189,Bowling Green Falcons,totals,3PT,threePointFieldGoalsMade-threePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted,The number of times a 3pt field goal was made.-The number of times a 3pt field goal was attempted.,9-19,
2007,5239,,,,,,189,Bowling Green Falcons,totals,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,47.4,47.4
2007,5239,,,,,,189,Bowling Green Falcons,totals,FT,freeThrowsMade-freeThrowsAttempted,Free Throws Made-Attempted,The number of times a free throw was made.-The number of times a free throw was attempted.,21-32,
2007,5239,,,,,,189,Bowling Green Falcons,totals,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,65.6,65.6
2007,5239,,,,,,189,Bowling Green Falcons,totals,PF,fouls,Fouls,The number of times a player had illegal contact with the opponent.,10,10.0
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,DD2,doubleDouble,Double Double,"The number of times double digit values were accumulated in 2 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,TD3,tripleDouble,Triple Double,"The number of times double digit values were accumulated in 3 of the following categories: points, rebounds, assists, steals, and blocked shots",0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,AST/TO,assistTurnoverRatio,Assist To Turnover Ratio,The average number of assists a player or team records per turnover,1.8,1.8
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,STL/TO,stealTurnoverRatio,Steal To Turnover Ratio,The number of steals per turnover,0.8,0.8
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,SC-EFF,scoringEfficiency,Scoring Efficiency,The efficiency with which a team or player scores the basketball.,1.174,1.174
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,SH-EFF,shootingEfficiency,Shooting Efficiency,The efficiency with which a team or player shoots the basketball.,0.36,0.36
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,TECH,technicalFouls,Technical Fouls,The number of times an player or coach was called for a technical foul (unsportsmanlike conduct or violations).,0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,DQ,disqualifications,Disqualifications,The number of times a player reached the foul limit.,0,0.0
2007,5239,,,,,,189,Bowling Green Falcons,miscellaneous,EJECT,ejections,Ejections,The number of times a player or coach is removed from the game as a result of a serious offense.,0,0.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,GP,gamesPlayed,Games Played,Games Played,28,28.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,GS,gamesStarted,Games Started,The number of games started by an athlete.,0,0.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,MIN,avgMinutes,Minutes Per Game,The average number of minutes per game.,0.0,0.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,PTS,avgPoints,Points Per Game,The average number of points scored per game.,10.0,10.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,REB,avgRebounds,Rebounds Per Game,The average rebounds per game.,6.8,6.8
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,AST,avgAssists,Assists Per Game,The average assists per game.,0.8,0.8
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,STL,avgSteals,Steals Per Game,The average steals per game.,0.5,0.5
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,BLK,avgBlocks,Blocks Per Game,The average blocks per game.,0.2,0.2
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,TO,avgTurnovers,Turnovers Per Game,The average turnovers committed per game.,2.2,2.2
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,FG,avgFieldGoalsMade-avgFieldGoalsAttempted,Field Goals Made-Attempted Per Game,The average field goals made per game.-The average field goals attempted per game.,4.0-7.5,
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,FG%,fieldGoalPct,Field Goal Percentage,The ratio of field goals made to field goals attempted: FGM / FGA,52.9,52.9
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,3PT,avgThreePointFieldGoalsMade-avgThreePointFieldGoalsAttempted,3-Point Field Goals Made-Attempted Per Game,The average three point field goals made per game.-The average three point field goals attempted per game.,0.0-0.0,
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,3P%,threePointFieldGoalPct,3-Point Field Goal Percentage,The ratio of 3pt field goals made to 3pt field goals attempted: 3PM / 3PA.,0.0,0.0
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,FT,avgFreeThrowsMade-avgFreeThrowsAttempted,Free Throws Made-Attempted Per Game,The average free throw shots made per game.-The average free throw shots attempted per game.,2.0-3.7,
2007,5369,,,,,,2132,Cincinnati Bearcats,averages,FT%,freeThrowPct,Free Throw Percentage,The ratio of free throws made to free throws attempted: FTM / FTA,54.8,54.8
