id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,tournament_id,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,player_box
320470012,s:40~l:54~e:320470012~c:320470012,2012-02-17T02:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T02:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,12,s:40~l:54~t:12,Arizona,Wildcats,ARIZ,Arizona Wildcats,Arizona,0c234b,ab0520,TRUE,1064,https://a.espncdn.com/i/teamlogos/ncaa/500/12.png,21,90,TRUE,265,s:40~l:54~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,TRUE,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,51,FALSE,320470012,2012,2,,,21,Pac-12 Conference,Pac-12,TRUE,1064,McKale Center,Tucson,AZ,14644,TRUE,2012-02-17T02:00:00Z,2012-02-16,TRUE,FALSE
320472464,s:40~l:54~e:320472464~c:320472464,2012-02-17T01:35Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:35Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2464,s:40~l:54~t:2464,Northern Arizona,Lumberjacks,NAU,Northern Arizona Lumberjacks,N Arizona,003976,1b3069,TRUE,2023,https://a.espncdn.com/i/teamlogos/ncaa/500/2464.png,5,78,FALSE,147,s:40~l:54~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana St,00205c,bc955c,TRUE,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,83,TRUE,320472464,2012,2,,,5,Big Sky Conference,Big Sky,TRUE,,,,,,,2012-02-17T01:35:00Z,2012-02-16,FALSE,FALSE
320470166,s:40~l:54~e:320470166~c:320470166,2012-02-17T01:30Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:30Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,166,s:40~l:54~t:166,New Mexico State,Aggies,NMSU,New Mexico State Aggies,New Mexico St,891216,000000,TRUE,1937,https://a.espncdn.com/i/teamlogos/ncaa/500/166.png,30,51,FALSE,62,s:40~l:54~t:62,Hawai'i,Rainbow Wahine,HAW,Hawai'i Rainbow Wahine,Hawai'i,003420,ffffff,TRUE,540,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,30,58,TRUE,320470166,2012,2,,,30,Western Athletic Conference,WAC,TRUE,,,,,,,2012-02-17T01:30:00Z,2012-02-16,FALSE,FALSE
320470009,s:40~l:54~e:320470009~c:320470009,2012-02-17T01:30Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:30Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,9,s:40~l:54~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,f1f2f3,TRUE,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,47,TRUE,264,s:40~l:54~t:264,Washington,Huskies,WASH,Washington Huskies,Washington,33006f,e8d3a2,TRUE,782,https://a.espncdn.com/i/teamlogos/ncaa/500/264.png,21,41,FALSE,320470009,2012,2,,,21,Pac-12 Conference,Pac-12,TRUE,833,Desert Financial Arena,Tempe,AZ,14198,TRUE,2012-02-17T01:30:00Z,2012-02-16,TRUE,FALSE
320470158,s:40~l:54~e:320470158~c:320470158,2012-02-17T01:05Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:05Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,158,s:40~l:54~t:158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7,TRUE,4569,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,7,51,FALSE,77,s:40~l:54~t:77,Northwestern,Wildcats,NU,Northwestern Wildcats,Northwestern,582c83,ffffff,TRUE,1990,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,7,63,TRUE,320470158,2012,2,,,7,Big Ten Conference,Big Ten,TRUE,,,,,,,2012-02-17T01:05:00Z,2012-02-16,TRUE,FALSE
320472674,s:40~l:54~e:320472674~c:320472674,2012-02-17T01:05Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:05Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2674,s:40~l:54~t:2674,Valparaiso,Beacons,VAL,Valparaiso Beacons,Valparaiso,794500,,TRUE,2159,https://a.espncdn.com/i/teamlogos/ncaa/500/2674.png,45,43,FALSE,82,s:40~l:54~t:82,UIC,Flames,UIC,UIC Flames,UIC,001e62,d50032,TRUE,1895,https://a.espncdn.com/i/teamlogos/ncaa/500/82.png,45,54,TRUE,320472674,2012,2,,,45,Horizon League,Horizon,TRUE,3373,INTRUST Bank Arena,Wichita,KS,0,TRUE,2012-02-17T01:05:00Z,2012-02-16,FALSE,FALSE
320472655,s:40~l:54~e:320472655~c:320472655,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,2655,s:40~l:54~t:2655,Tulane,Green Wave,TULN,Tulane Green Wave,Tulane,005837,3baf29,TRUE,2048,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,11,50,TRUE,242,s:40~l:54~t:242,Rice,Owls,RICE,Rice Owls,Rice,d1d5d8,003d7d,TRUE,1902,https://a.espncdn.com/i/teamlogos/ncaa/500/242.png,11,47,FALSE,320472655,2012,2,,OT,11,Conference USA,C-USA,TRUE,2048,Avron B. Fogelman Arena in the Devlin Fieldhouse,New Orleans,LA,4000,TRUE,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320472572,s:40~l:54~e:320472572~c:320472572,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2572,s:40~l:54~t:2572,Southern Miss,Golden Eagles,USM,Southern Miss Golden Eagles,Southern Miss,FFAA3C,ffc423,TRUE,2009,https://a.espncdn.com/i/teamlogos/ncaa/500/2572.png,11,60,FALSE,2116,s:40~l:54~t:2116,UCF,Knights,UCF,UCF Knights,UCF,000000,231f20,TRUE,4484,https://a.espncdn.com/i/teamlogos/ncaa/500/2116.png,11,74,TRUE,320472572,2012,2,,,11,Conference USA,C-USA,TRUE,2009,Reed Green Coliseum,Hattiesburg,MS,8095,TRUE,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320472459,s:40~l:54~e:320472459~c:320472459,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2459,s:40~l:54~t:2459,Northern Illinois,Huskies,NIU,Northern Illinois Huskies,N Illinois,F1122C,cc0000,TRUE,2090,https://a.espncdn.com/i/teamlogos/ncaa/500/2459.png,14,58,TRUE,2050,s:40~l:54~t:2050,Ball State,Cardinals,BALL,Ball State Cardinals,Ball State,DA0000,ffffff,TRUE,299,https://a.espncdn.com/i/teamlogos/ncaa/500/2050.png,14,44,FALSE,320472459,2012,2,,,14,Mid-American Conference,MAC,TRUE,,,,,,,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
320472130,s:40~l:54~e:320472130~c:320472130,2012-02-17T01:00Z,0,TRUE,FALSE,TRUE,FALSE,2012-02-17T01:00Z,event,"",0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2130,s:40~l:54~t:2130,Chicago State,Cougars,CHST,Chicago State Cougars,Chicago St,006700,,TRUE,1951,https://a.espncdn.com/i/teamlogos/ncaa/500/2130.png,43,63,TRUE,2277,s:40~l:54~t:2277,Houston Christian,Huskies,HCU,Houston Christian Huskies,Hou Christian,00539c,,TRUE,2012,https://a.espncdn.com/i/teamlogos/ncaa/500/2277.png,25,41,FALSE,320472130,2012,2,,,,,,,,,,,,,2012-02-17T01:00:00Z,2012-02-16,FALSE,FALSE
