id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,player_box
310860239,s:40~l:54~e:310860239~c:310860239,2011-03-27T23:05Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T23:05Z,event,NCAA WOMEN'S CHAMPIONSHIP - DALLAS REGION - SWEET 16 AT DALLAS,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,86,TRUE,2739,s:40~l:54~t:2739,Green Bay,Phoenix,GB,Green Bay Phoenix,Green Bay,006633,ffffff,TRUE,1946,https://a.espncdn.com/i/teamlogos/ncaa/500/2739.png,45,76,FALSE,310860239,2011,3,,,,,,22,516,American Airlines Center,Dallas,TX,19200,TRUE,2011-03-27T23:05:00Z,2011-03-27,TRUE,FALSE
310860245,s:40~l:54~e:310860245~c:310860245,2011-03-27T20:30Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T20:30Z,event,NCAA WOMEN'S CHAMPIONSHIP - DALLAS REGION - SWEET 16 AT DALLAS,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,245,s:40~l:54~t:245,Texas A&M,Aggies,TA&M,Texas A&M Aggies,Texas A&M,5C0025,ffffff,TRUE,2114,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,8,79,TRUE,61,s:40~l:54~t:61,Georgia,Lady Bulldogs,UGA,Georgia Lady Bulldogs,Georgia,CC0000,000000,TRUE,2088,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,23,38,FALSE,310860245,2011,3,,,,,,22,516,American Airlines Center,Dallas,TX,19200,TRUE,2011-03-27T20:30:00Z,2011-03-27,TRUE,FALSE
310860005,s:40~l:54~e:310860005~c:310860005,2011-03-27T20:00Z,0,TRUE,FALSE,FALSE,FALSE,2011-03-27T20:00Z,event,WBI CHAMPIONSHIP GAME,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,5,s:40~l:54~t:5,UAB,Blazers,UAB,UAB Blazers,UAB,054338,ffc845,TRUE,2155,https://a.espncdn.com/i/teamlogos/ncaa/500/5.png,11,68,TRUE,2934,s:40~l:54~t:2934,Cal State Bakersfield,Roadrunners,CSUB,Cal State Bakersfield Roadrunners,Bakersfield,003BAB,,TRUE,2112,https://a.espncdn.com/i/teamlogos/ncaa/500/2934.png,43,60,FALSE,310860005,2011,3,,,,,,38,,,,,,,2011-03-27T20:00:00Z,2011-03-27,FALSE,FALSE
310860038,s:40~l:54~e:310860038~c:310860038,2011-03-27T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2011-03-27T19:00Z,event,WOMEN'S NIT - QUARTERFINALS,37,BM,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,38,s:40~l:54~t:38,Colorado,Buffaloes,COLO,Colorado Buffaloes,Colorado,000000,cfb87c,TRUE,2207,https://a.espncdn.com/i/teamlogos/ncaa/500/38.png,8,70,FALSE,30,s:40~l:54~t:30,USC,Trojans,USC,USC Trojans,USC,9e2237,ffcc00,TRUE,1918,https://a.espncdn.com/i/teamlogos/ncaa/500/30.png,21,87,TRUE,310860038,2011,3,,,,,,37,,,,,,,2011-03-27T19:00:00Z,2011-03-27,FALSE,FALSE
310860150,s:40~l:54~e:310860150~c:310860150,2011-03-27T18:30Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T18:30Z,event,NCAA WOMEN'S CHAMPIONSHIP - PHILADELPHIA REGION - SWEET 16 AT PHILADELPHIA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,70,TRUE,305,s:40~l:54~t:305,DePaul,Blue Demons,DEP,DePaul Blue Demons,DePaul,2d649c,ce1125,TRUE,5427,https://a.espncdn.com/i/teamlogos/ncaa/500/305.png,4,63,FALSE,310860150,2011,3,,,,,,22,2011,Liacouras Center,Philadelphia,PA,10206,TRUE,2011-03-27T18:30:00Z,2011-03-27,TRUE,FALSE
310862649,s:40~l:54~e:310862649~c:310862649,2011-03-27T18:00Z,0,TRUE,FALSE,FALSE,FALSE,2011-03-27T18:00Z,event,WOMEN'S NIT - QUARTERFINALS,37,BM,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,2649,s:40~l:54~t:2649,Toledo,Rockets,TOL,Toledo Rockets,Toledo,ffffff,ffd51d,TRUE,2116,https://a.espncdn.com/i/teamlogos/ncaa/500/2649.png,14,71,TRUE,183,s:40~l:54~t:183,Syracuse,Orange,SYR,Syracuse Orange,Syracuse,ff6500,000e54,TRUE,1964,https://a.espncdn.com/i/teamlogos/ncaa/500/183.png,4,68,FALSE,310862649,2011,3,OT,,,,,37,,,,,,,2011-03-27T18:00:00Z,2011-03-27,FALSE,FALSE
310862287,s:40~l:54~e:310862287~c:310862287,2011-03-27T18:00Z,0,TRUE,FALSE,FALSE,FALSE,2011-03-27T18:00Z,event,WOMEN'S NIT - QUARTERFINALS,37,BM,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2287,s:40~l:54~t:2287,Illinois State,Redbirds,ILST,Illinois State Redbirds,Illinois St,CE1126,ffe716,TRUE,1932,https://a.espncdn.com/i/teamlogos/ncaa/500/2287.png,18,60,TRUE,8,s:40~l:54~t:8,Arkansas,Razorbacks,ARK,Arkansas Razorbacks,Arkansas,a41f35,222222,TRUE,2142,https://a.espncdn.com/i/teamlogos/ncaa/500/8.png,23,49,FALSE,310862287,2011,3,,,,,,37,,,,,,,2011-03-27T18:00:00Z,2011-03-27,FALSE,FALSE
310860041,s:40~l:54~e:310860041~c:310860041,2011-03-27T16:00Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T16:00Z,event,NCAA WOMEN'S CHAMPIONSHIP - PHILADELPHIA REGION - SWEET 16 AT PHILADELPHIA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,68,TRUE,46,s:40~l:54~t:46,Georgetown,Hoyas,GTWN,Georgetown Hoyas,Georgetown,110E42,001c58,TRUE,2013,https://a.espncdn.com/i/teamlogos/ncaa/500/46.png,4,63,FALSE,310860041,2011,3,,,,,,22,2011,Liacouras Center,Philadelphia,PA,10206,TRUE,2011-03-27T16:00:00Z,2011-03-27,TRUE,FALSE
310850024,s:40~l:54~e:310850024~c:310850024,2011-03-27T03:30Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T03:30Z,event,NCAA WOMEN'S CHAMPIONSHIP - SPOKANE REGION - SWEET 16 AT SPOKANE WA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,72,TRUE,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,65,FALSE,310850024,2011,3,,,,,,22,,,,,,,2011-03-27T03:30:00Z,2011-03-26,TRUE,FALSE
310850097,s:40~l:54~e:310850097~c:310850097,2011-03-27T01:00Z,0,TRUE,TRUE,FALSE,FALSE,2011-03-27T01:00Z,event,NCAA WOMEN'S CHAMPIONSHIP - SPOKANE REGION - SWEET 16 AT SPOKANE WA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,97,s:40~l:54~t:97,Louisville,Cardinals,LOU,Louisville Cardinals,Louisville,c9001f,000000,TRUE,2030,https://a.espncdn.com/i/teamlogos/ncaa/500/97.png,4,69,FALSE,2250,s:40~l:54~t:2250,Gonzaga,Bulldogs,GONZ,Gonzaga Bulldogs,Gonzaga,041e42,c8102e,TRUE,1979,https://a.espncdn.com/i/teamlogos/ncaa/500/2250.png,29,76,TRUE,310850097,2011,3,,,,,,22,,,,,,,2011-03-27T01:00:00Z,2011-03-26,TRUE,FALSE
