id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,game_date_time,game_date,PBP,player_box
400995652,s:40~l:54~e:400995652~c:400995652,2017-12-22T22:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T22:00Z,"","",0,N/A,1965,Redhawk Center,Seattle,WA,999,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2547,s:40~l:54~t:2547,Seattle U,Redhawks,SEA,Seattle U Redhawks,Seattle U,BF2E1A,c2c3c0,TRUE,1965,https://a.espncdn.com/i/teamlogos/ncaa/500/2547.png,30,79,FALSE,300,s:40~l:54~t:300,UC Irvine,Anteaters,UCI,UC Irvine Anteaters,UC Irvine,002B5C,fec52e,TRUE,469,https://a.espncdn.com/i/teamlogos/ncaa/500/300.png,9,84,TRUE,400995652,2018,2,,,,,,,2017-12-22T22:00:00Z,2017-12-22,FALSE,TRUE
400993761,s:40~l:54~e:400993761~c:400993761,2017-12-22T22:00Z,650,TRUE,FALSE,FALSE,FALSE,2017-12-22T22:00Z,"","",0,N/A,5471,Beardsley Gymnasium,Evanston,IL,0,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,77,s:40~l:54~t:77,Northwestern,Wildcats,NU,Northwestern Wildcats,Northwestern,582c83,ffffff,TRUE,1990,https://a.espncdn.com/i/teamlogos/ncaa/500/77.png,7,74,TRUE,2197,s:40~l:54~t:2197,Eastern Illinois,Panthers,EIU,Eastern Illinois Panthers,E Illinois,000000,bebab9,TRUE,2138,https://a.espncdn.com/i/teamlogos/ncaa/500/2197.png,20,40,FALSE,400993761,2018,2,,,,,,,2017-12-22T22:00:00Z,2017-12-22,TRUE,TRUE
401005580,s:40~l:54~e:401005580~c:401005580,2017-12-22T21:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T21:00Z,event,TULANE CLASSIC,0,N/A,2048,Avron B. Fogelman Arena in the Devlin Fieldhouse,New Orleans,LA,4000,TRUE,600,10:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2655,s:40~l:54~t:2655,Tulane,Green Wave,TULN,Tulane Green Wave,Tulane,005837,3baf29,TRUE,2048,https://a.espncdn.com/i/teamlogos/ncaa/500/2655.png,62,67,TRUE,2638,s:40~l:54~t:2638,UTEP,Miners,UTEP,UTEP Miners,UTEP,ff8200,041e42,TRUE,2117,https://a.espncdn.com/i/teamlogos/ncaa/500/2638.png,11,56,FALSE,401005580,2018,2,,,,,,,2017-12-22T21:00:00Z,2017-12-22,FALSE,TRUE
400996633,s:40~l:54~e:400996633~c:400996633,2017-12-22T21:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T21:00Z,"","",0,N/A,2108,Marriott Center,Provo,UT,18987,TRUE,600,10:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,252,s:40~l:54~t:252,BYU,Cougars,BYU,BYU Cougars,BYU,001E4C,ffffff,TRUE,2108,https://a.espncdn.com/i/teamlogos/ncaa/500/252.png,29,75,TRUE,147,s:40~l:54~t:147,Montana State,Bobcats,MTST,Montana State Bobcats,Montana St,00205c,bc955c,TRUE,2065,https://a.espncdn.com/i/teamlogos/ncaa/500/147.png,5,54,FALSE,400996633,2018,2,,,,,,,2017-12-22T21:00:00Z,2017-12-22,FALSE,TRUE
400994429,s:40~l:54~e:400994429~c:400994429,2017-12-22T20:00Z,0,TRUE,TRUE,FALSE,FALSE,2017-12-22T20:00Z,event,DUEL IN THE DESERT,0,N/A,1051,Cox Pavilion,Las Vegas,NV,2500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2483,s:40~l:54~t:2483,Oregon,Ducks,ORE,Oregon Ducks,Oregon,044520,fee123,TRUE,1977,https://a.espncdn.com/i/teamlogos/ncaa/500/2483.png,21,85,TRUE,62,s:40~l:54~t:62,Hawai'i,Rainbow Wahine,HAW,Hawai'i Rainbow Wahine,Hawai'i,003420,ffffff,TRUE,540,https://a.espncdn.com/i/teamlogos/ncaa/500/62.png,9,44,FALSE,400994429,2018,2,,,,,,,2017-12-22T20:00:00Z,2017-12-22,TRUE,TRUE
400997108,s:40~l:54~e:400997108~c:400997108,2017-12-22T20:00Z,0,TRUE,TRUE,FALSE,FALSE,2017-12-22T20:00Z,event,LAS VEGAS HOLIDAY HOOPS CLASSIC,0,N/A,2567,South Point Arena,Las Vegas,NV,0,TRUE,600,10:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2515,s:40~l:54~t:2515,Radford,Highlanders,RAD,Radford Highlanders,Radford,BC1515,c2c3c0,TRUE,1901,https://a.espncdn.com/i/teamlogos/ncaa/500/2515.png,6,69,TRUE,119,s:40~l:54~t:119,Towson,Tigers,TOW,Towson Tigers,Towson,FFC229,,TRUE,4603,https://a.espncdn.com/i/teamlogos/ncaa/500/119.png,10,66,FALSE,400997108,2018,2,,,,,,,2017-12-22T20:00:00Z,2017-12-22,FALSE,TRUE
401005579,s:40~l:54~e:401005579~c:401005579,2017-12-22T19:00Z,0,TRUE,TRUE,FALSE,FALSE,2017-12-22T19:00Z,event,TULANE CLASSIC,0,N/A,2048,Avron B. Fogelman Arena in the Devlin Fieldhouse,New Orleans,LA,4000,TRUE,0,0:00,5,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,4,2535,s:40~l:54~t:2535,Samford,Bulldogs,SAM,Samford Bulldogs,Samford,005485,bc0023,TRUE,2191,https://a.espncdn.com/i/teamlogos/ncaa/500/2535.png,24,82,TRUE,2653,s:40~l:54~t:2653,Troy,Trojans,TROY,Troy Trojans,Troy,AE0210,88898c,TRUE,4489,https://a.espncdn.com/i/teamlogos/ncaa/500/2653.png,27,76,FALSE,401005579,2018,2,OT,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400998132,s:40~l:54~e:400998132~c:400998132,2017-12-22T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,2006,Brooks Gym,Johnson City,TN,2500,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2193,s:40~l:54~t:2193,East Tennessee State,Bucs,ETSU,East Tennessee State Bucs,ETSU,002d61,ffc423,TRUE,2006,https://a.espncdn.com/i/teamlogos/ncaa/500/2193.png,24,45,FALSE,94,s:40~l:54~t:94,Northern Kentucky,Norse,NKU,Northern Kentucky Norse,N Kentucky,ffc82e,000000,TRUE,1920,https://a.espncdn.com/i/teamlogos/ncaa/500/94.png,45,57,TRUE,400998132,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400995778,s:40~l:54~e:400995778~c:400995778,2017-12-22T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,1973,Cintas Center,Cincinnati,OH,10224,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2752,s:40~l:54~t:2752,Xavier,Musketeers,XAV,Xavier Musketeers,Xavier,002144,9ea2a2,TRUE,1973,https://a.espncdn.com/i/teamlogos/ncaa/500/2752.png,4,70,TRUE,50,s:40~l:54~t:50,Florida A&M,Rattlers,FAMU,Florida A&M Rattlers,FAMU,F89728,00843d,TRUE,2205,https://a.espncdn.com/i/teamlogos/ncaa/500/50.png,16,52,FALSE,400995778,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400995540,s:40~l:54~e:400995540~c:400995540,2017-12-22T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,2049,Donald W. Reynolds Center,Tulsa,OK,8355,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,202,s:40~l:54~t:202,Tulsa,Golden Hurricane,TLSA,Tulsa Golden Hurricane,Tulsa,003595,d0b787,TRUE,2049,https://a.espncdn.com/i/teamlogos/ncaa/500/202.png,62,68,TRUE,2032,s:40~l:54~t:2032,Arkansas State,Red Wolves,ARST,Arkansas State Red Wolves,Arkansas St,e81018,000000,TRUE,2033,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,27,58,FALSE,400995540,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400995539,s:40~l:54~e:400995539~c:400995539,2017-12-22T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,1961,Moody Coliseum,Dallas,TX,7000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2567,s:40~l:54~t:2567,SMU,Mustangs,SMU,SMU Mustangs,SMU,E32F38,ecdcb9,TRUE,1961,https://a.espncdn.com/i/teamlogos/ncaa/500/2567.png,62,65,TRUE,2377,s:40~l:54~t:2377,McNeese,Cowgirls,MCN,McNeese Cowgirls,McNeese,00529C,,TRUE,6007,https://a.espncdn.com/i/teamlogos/ncaa/500/2377.png,25,59,FALSE,400995539,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400994704,s:40~l:54~e:400994704~c:400994704,2017-12-22T19:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,2163,OceanFirst Bank Center,West Long Branch,NJ,4100,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,2405,s:40~l:54~t:2405,Monmouth,Hawks,MONM,Monmouth Hawks,Monmouth,051844,,TRUE,2163,https://a.espncdn.com/i/teamlogos/ncaa/500/2405.png,13,45,FALSE,45,s:40~l:54~t:45,George Washington,Colonials,GW,George Washington Colonials,G Washington,002843,e8d2a1,TRUE,2125,https://a.espncdn.com/i/teamlogos/ncaa/500/45.png,3,59,TRUE,400994704,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,FALSE,TRUE
400993742,s:40~l:54~e:400993742~c:400993742,2017-12-22T19:00Z,4404,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,4569,Pinnacle Bank Arena,Lincoln,NE,15000,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,158,s:40~l:54~t:158,Nebraska,Cornhuskers,NEB,Nebraska Cornhuskers,Nebraska,F20017,f5f1e7,TRUE,4569,https://a.espncdn.com/i/teamlogos/ncaa/500/158.png,7,61,FALSE,265,s:40~l:54~t:265,Washington State,Cougars,WSU,Washington State Cougars,Washington St,94022a,6a747c,TRUE,2052,https://a.espncdn.com/i/teamlogos/ncaa/500/265.png,21,73,TRUE,400993742,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,TRUE,TRUE
400993721,s:40~l:54~e:400993721~c:400993721,2017-12-22T19:00Z,2106,TRUE,FALSE,FALSE,FALSE,2017-12-22T19:00Z,"","",0,N/A,2094,Williams Arena,Minneapolis,MN,14625,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,135,s:40~l:54~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,101,TRUE,27,s:40~l:54~t:27,UC Riverside,Highlanders,UCR,UC Riverside Highlanders,UC Riverside,14234F,,TRUE,2082,https://a.espncdn.com/i/teamlogos/ncaa/500/27.png,9,75,FALSE,400993721,2018,2,,,,,,,2017-12-22T19:00:00Z,2017-12-22,TRUE,TRUE
400987828,s:40~l:54~e:400987828~c:400987828,2017-12-22T18:00Z,0,TRUE,FALSE,FALSE,FALSE,2017-12-22T18:00Z,"","",0,N/A,2071,Mizzou Arena,Columbia,MO,15061,TRUE,0,0:00,4,3,STATUS_FINAL,post,TRUE,Final,Final,Final,4,142,s:40~l:54~t:142,Missouri,Tigers,MIZ,Missouri Tigers,Missouri,f1b82d,000000,TRUE,2071,https://a.espncdn.com/i/teamlogos/ncaa/500/142.png,23,72,TRUE,356,s:40~l:54~t:356,Illinois,Fighting Illini,ILL,Illinois Fighting Illini,Illinois,ff5f05,13294b,TRUE,2127,https://a.espncdn.com/i/teamlogos/ncaa/500/356.png,7,55,FALSE,400987828,2018,2,,,,,,,2017-12-22T18:00:00Z,2017-12-22,TRUE,TRUE
