id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_alternate_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,status_type_alt_detail,groups_id,groups_name,groups_short_name,groups_is_conference,tournament_id,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,player_box
264000063,s:40~l:54~e:264000063~c:264000063,2006-04-05T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-05T00:30Z,event,CHAMPIONSHIP AT BOSTON MA,,,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,75,FALSE,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,78,TRUE,264000063,2006,3,OT,,,,,22,1824,TD Garden,Boston,MA,19156,TRUE,2006-04-05T00:30:00Z,2006-04-04,TRUE,FALSE
264000062,s:40~l:54~e:264000062~c:264000062,2006-04-03T01:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-03T01:30Z,event,FINAL FOUR AT BOSTON MA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,64,TRUE,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,45,FALSE,264000062,2006,3,,,,,,22,1824,TD Garden,Boston,MA,19156,TRUE,2006-04-03T01:30:00Z,2006-04-02,TRUE,FALSE
264000031,s:40~l:54~e:264000031~c:264000031,2006-04-02T23:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-04-02T23:00Z,event,FINAL FOUR AT BOSTON MA,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,70,FALSE,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,81,TRUE,264000031,2006,3,,,,,,22,1824,TD Garden,Boston,MA,19156,TRUE,2006-04-02T23:00:00Z,2006-04-02,TRUE,FALSE
264000030,s:40~l:54~e:264000030~c:264000030,2006-03-29T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-29T02:00Z,event,BRIDGEPORT REGIONAL AT BRIDGEPORT CT,,,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,63,TRUE,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,61,FALSE,264000030,2006,3,OT,,,,,22,1259,Total Mortgage Arena,Bridgeport,CT,10000,TRUE,2006-03-29T02:00:00Z,2006-03-28,TRUE,FALSE
264000061,s:40~l:54~e:264000061~c:264000061,2006-03-29T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-29T00:00Z,event,CLEVELAND REGIONAL AT CLEVELAND,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,75,TRUE,2633,s:40~l:54~t:2633,Tennessee,Lady Volunteers,TENN,Tennessee Lady Volunteers,Tennessee,ff8200,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633_ncw.png,23,63,FALSE,264000061,2006,3,,,,,,22,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,2006-03-29T00:00:00Z,2006-03-28,TRUE,FALSE
264000046,s:40~l:54~e:264000046~c:264000046,2006-03-28T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-28T02:00Z,event,SAN ANTONIO REGIONAL AT SAN ANTONIO TX,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,62,TRUE,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,59,FALSE,264000046,2006,3,,,,,,22,780,AT&T Center,San Antonio,TX,18354,TRUE,2006-03-28T02:00:00Z,2006-03-27,TRUE,FALSE
264000015,s:40~l:54~e:264000015~c:264000015,2006-03-28T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-28T00:00Z,event,ALBUQUERQUE REGIONAL AT ALBUQUERQUE NM,,,0,0:00,3,3,STATUS_FINAL,post,TRUE,Final,Final/OT,Final/OT,2,120,s:40~l:54~t:120,Maryland,Terrapins,MD,Maryland Terrapins,Maryland,D5002B,ffcd00,TRUE,2133,https://a.espncdn.com/i/teamlogos/ncaa/500/120.png,2,75,TRUE,254,s:40~l:54~t:254,Utah,Utes,UTAH,Utah Utes,Utah,890012,7e8083,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/254.png,44,65,FALSE,264000015,2006,3,OT,,,,,22,2024,The Pit,Albuquerque,NM,15411,TRUE,2006-03-28T00:00:00Z,2006-03-27,TRUE,FALSE
264000029,s:40~l:54~e:264000029~c:264000029,2006-03-27T02:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-27T02:30Z,event,BRIDGEPORT REGIONAL AT BRIDGEPORT CT,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,f1f2f3,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,77,TRUE,61,s:40~l:54~t:61,Georgia,Lady Bulldogs,UGA,Georgia Lady Bulldogs,Georgia,CC0000,000000,TRUE,2088,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,23,75,FALSE,264000029,2006,3,,,,,,22,1259,Total Mortgage Arena,Bridgeport,CT,10000,TRUE,2006-03-27T02:30:00Z,2006-03-26,TRUE,FALSE
264000022,s:40~l:54~e:264000022~c:264000022,2006-03-27T00:00Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-27T00:00Z,event,BRIDGEPORT REGIONAL AT BRIDGEPORT CT,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,86,TRUE,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,61,FALSE,264000022,2006,3,,,,,,22,1259,Total Mortgage Arena,Bridgeport,CT,10000,TRUE,2006-03-27T00:00:00Z,2006-03-26,TRUE,FALSE
264000053,s:40~l:54~e:264000053~c:264000053,2006-03-26T19:30Z,0,TRUE,FALSE,FALSE,FALSE,2006-03-26T19:30Z,event,CLEVELAND REGIONAL AT CLEVELAND OH,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,70,TRUE,2509,s:40~l:54~t:2509,Purdue,Boilermakers,PUR,Purdue Boilermakers,Purdue,000000,cfb991,TRUE,399,https://a.espncdn.com/i/teamlogos/ncaa/500/2509.png,7,68,FALSE,264000053,2006,3,,,,,,22,3417,Rocket Mortgage FieldHouse,Cleveland,OH,19432,TRUE,2006-03-26T19:30:00Z,2006-03-26,TRUE,FALSE
