id,uid,date,attendance,time_valid,neutral_site,conference_competition,recent,start_date,notes_type,notes_headline,type_id,type_abbreviation,status_clock,status_display_clock,status_period,status_type_id,status_type_name,status_type_state,status_type_completed,status_type_description,status_type_detail,status_type_short_detail,format_regulation_periods,home_id,home_uid,home_location,home_name,home_abbreviation,home_display_name,home_short_display_name,home_color,home_alternate_color,home_is_active,home_venue_id,home_logo,home_conference_id,home_score,home_winner,away_id,away_uid,away_location,away_name,away_abbreviation,away_display_name,away_short_display_name,away_color,away_is_active,away_venue_id,away_logo,away_conference_id,away_score,away_winner,game_id,season,season_type,away_alternate_color,status_type_alt_detail,tournament_id,groups_id,groups_name,groups_short_name,groups_is_conference,venue_id,venue_full_name,venue_address_city,venue_address_state,venue_capacity,venue_indoor,game_date_time,game_date,PBP,team_box,player_box
254000045,s:40~l:54~e:254000045~c:254000045,2005-03-28T03:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-28T03:00Z,event,KANSAS CITY REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,24,s:40~l:54~t:24,Stanford,Cardinal,STAN,Stanford Cardinal,Stanford,8c1515,ffffff,TRUE,820,https://a.espncdn.com/i/teamlogos/ncaa/500/24.png,21,76,TRUE,41,s:40~l:54~t:41,UConn,Huskies,CONN,UConn Huskies,UConn,0c2340,TRUE,1956,https://a.espncdn.com/i/teamlogos/ncaa/500/41.png,4,59,FALSE,254000045,2005,3,f1f2f3,,22,,,,,2181,Municipal Auditorium (MO),Kansas City,MO,10116,TRUE,2005-03-28T03:00:00Z,2005-03-27,TRUE,FALSE,FALSE
254000038,s:40~l:54~e:254000038~c:254000038,2005-03-28T00:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-28T00:30Z,event,KANSAS CITY REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,127,s:40~l:54~t:127,Michigan State,Spartans,MSU,Michigan State Spartans,Michigan St,18453B,ffffff,TRUE,1987,https://a.espncdn.com/i/teamlogos/ncaa/500/127.png,7,76,TRUE,238,s:40~l:54~t:238,Vanderbilt,Commodores,VAN,Vanderbilt Commodores,Vanderbilt,000000,TRUE,2084,https://a.espncdn.com/i/teamlogos/ncaa/500/238.png,23,64,FALSE,254000038,2005,3,231f20,,22,,,,,2181,Municipal Auditorium (MO),Kansas City,MO,10116,TRUE,2005-03-28T00:30:00Z,2005-03-27,TRUE,FALSE,FALSE
254000029,s:40~l:54~e:254000029~c:254000029,2005-03-27T19:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-27T19:30Z,event,PHILADELPHIA REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,194,s:40~l:54~t:194,Ohio State,Buckeyes,OSU,Ohio State Buckeyes,Ohio State,ce1141,505056,TRUE,317,https://a.espncdn.com/i/teamlogos/ncaa/500/194.png,7,58,FALSE,164,s:40~l:54~t:164,Rutgers,Scarlet Knights,RUTG,Rutgers Scarlet Knights,Rutgers,d21034,TRUE,2008,https://a.espncdn.com/i/teamlogos/ncaa/500/164.png,4,64,TRUE,254000029,2005,3,ffffff,,22,,,,,2011,Liacouras Center,Philadelphia,PA,10206,TRUE,2005-03-27T19:30:00Z,2005-03-27,TRUE,FALSE,FALSE
254000022,s:40~l:54~e:254000022~c:254000022,2005-03-27T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-27T17:00Z,event,PHILADELPHIA REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2633,s:40~l:54~t:2633,Tennessee,Lady Volunteers,TENN,Tennessee Lady Volunteers,Tennessee,ff8200,ffffff,TRUE,2044,https://a.espncdn.com/i/teamlogos/ncaa/500/2633_ncw.png,23,75,TRUE,2641,s:40~l:54~t:2641,Texas Tech,Lady Raiders,TTU,Texas Tech Lady Raiders,Texas Tech,C80025,TRUE,2047,https://a.espncdn.com/i/teamlogos/ncaa/500/2641.png,8,59,FALSE,254000022,2005,3,231f20,,22,,,,,2011,Liacouras Center,Philadelphia,PA,10206,TRUE,2005-03-27T17:00:00Z,2005-03-27,TRUE,FALSE,FALSE
254000007,s:40~l:54~e:254000007~c:254000007,2005-03-27T04:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-27T04:30Z,event,TEMPE REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,153,s:40~l:54~t:153,North Carolina,Tar Heels,UNC,North Carolina Tar Heels,North Carolina,7bafd4,13294b,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/153.png,2,79,TRUE,9,s:40~l:54~t:9,Arizona State,Sun Devils,ASU,Arizona State Sun Devils,Arizona State,942139,TRUE,833,https://a.espncdn.com/i/teamlogos/ncaa/500/9.png,21,72,FALSE,254000007,2005,3,f1f2f3,,22,,,,,833,Desert Financial Arena,Tempe,AZ,14198,TRUE,2005-03-27T04:30:00Z,2005-03-26,TRUE,FALSE,FALSE
254000014,s:40~l:54~e:254000014~c:254000014,2005-03-27T02:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-27T02:00Z,event,TEMPE REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,239,s:40~l:54~t:239,Baylor,Bears,BAY,Baylor Bears,Baylor,154734,ffb81c,TRUE,1049,https://a.espncdn.com/i/teamlogos/ncaa/500/239.png,8,64,TRUE,135,s:40~l:54~t:135,Minnesota,Golden Gophers,MINN,Minnesota Golden Gophers,Minnesota,981a31,TRUE,2094,https://a.espncdn.com/i/teamlogos/ncaa/500/135.png,7,57,FALSE,254000014,2005,3,981a31,,22,,,,,833,Desert Financial Arena,Tempe,AZ,14198,TRUE,2005-03-27T02:00:00Z,2005-03-26,TRUE,FALSE,FALSE
254000060,s:40~l:54~e:254000060~c:254000060,2005-03-26T19:30Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-26T19:30Z,event,CHATTANOOGA REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,150,s:40~l:54~t:150,Duke,Blue Devils,DUKE,Duke Blue Devils,Duke,013088,ffffff,TRUE,1914,https://a.espncdn.com/i/teamlogos/ncaa/500/150.png,2,63,TRUE,61,s:40~l:54~t:61,Georgia,Lady Bulldogs,UGA,Georgia Lady Bulldogs,Georgia,CC0000,TRUE,2088,https://a.espncdn.com/i/teamlogos/ncaa/500/61.png,23,57,FALSE,254000060,2005,3,000000,,22,,,,,2146,McKenzie Arena,Chattanooga,TN,10996,TRUE,2005-03-26T19:30:00Z,2005-03-26,TRUE,FALSE,FALSE
254000053,s:40~l:54~e:254000053~c:254000053,2005-03-26T17:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-26T17:00Z,event,CHATTANOOGA REGIONAL,,,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,99,s:40~l:54~t:99,LSU,Tigers,LSU,LSU Tigers,LSU,461d7c,fdd023,TRUE,557,https://a.espncdn.com/i/teamlogos/ncaa/500/99.png,23,90,TRUE,2335,s:40~l:54~t:2335,Liberty,Flames,LIB,Liberty Flames,Liberty,071740,TRUE,7117,https://a.espncdn.com/i/teamlogos/ncaa/500/2335.png,6,48,FALSE,254000053,2005,3,a61f21,,22,,,,,2146,McKenzie Arena,Chattanooga,TN,10996,TRUE,2005-03-26T17:00:00Z,2005-03-26,TRUE,FALSE,FALSE
250832623,s:40~l:54~e:250832623~c:250832623,2005-03-25T01:05Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-25T01:05Z,event,WNIT,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2623,s:40~l:54~t:2623,Missouri State,Lady Bears,MOST,Missouri State Lady Bears,Missouri St,5F0000,e8e8e8,TRUE,1966,https://a.espncdn.com/i/teamlogos/ncaa/500/2623.png,18,62,TRUE,245,s:40~l:54~t:245,Texas A&M,Aggies,TA&M,Texas A&M Aggies,Texas A&M,5C0025,TRUE,2114,https://a.espncdn.com/i/teamlogos/ncaa/500/245.png,8,60,FALSE,250832623,2005,3,ffffff,,,,,,,,,,,,,2005-03-25T01:05:00Z,2005-03-24,FALSE,FALSE,FALSE
250832294,s:40~l:54~e:250832294~c:250832294,2005-03-25T01:00Z,0,TRUE,FALSE,FALSE,FALSE,2005-03-25T01:00Z,event,WNIT,0,N/A,0,0:00,2,3,STATUS_FINAL,post,TRUE,Final,Final,Final,2,2294,s:40~l:54~t:2294,Iowa,Hawkeyes,IOWA,Iowa Hawkeyes,Iowa,000000,fcd116,TRUE,,https://a.espncdn.com/i/teamlogos/ncaa/500/2294.png,7,66,TRUE,2032,s:40~l:54~t:2032,Arkansas State,Red Wolves,ARST,Arkansas State Red Wolves,Arkansas St,e81018,TRUE,2033,https://a.espncdn.com/i/teamlogos/ncaa/500/2032.png,27,52,FALSE,250832294,2005,3,000000,,,,,,,,,,,,,2005-03-25T01:00:00Z,2005-03-24,FALSE,FALSE,FALSE
