season,group_id,group_name,group_abbreviation,group_short_name,team_id,team_uid,team_slug,team_location,team_name,team_abbreviation,team_display_name,team_short_display_name,team_color,team_alternate_color,team_logo,stat_name,stat_display_name,stat_short_display_name,stat_description,stat_abbreviation,stat_type,display_value,value
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,avgPointsAgainst,Opponent Points Per Game,OPP PPG,Opponent Points Per Game,OPP PPG,avgpointsagainst,64.0,63.964287
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,avgPointsFor,Points Per Game,PPG,Points Per Game,PPG,avgpointsfor,53.9,53.857143
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,gamesBehind,Games Back,GB,Games Back,GB,gamesbehind,18.5,18.5
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,leagueWinPercent,League Win Percentage,LPCT,League Winning Percentage,LPCT,leaguewinpercent,0.188,0.1875
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,losses,Losses,L,Losses,L,losses,21,21.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,playoffSeed,Position,POS,Playoff Seed,SEED,playoffseed,0,0.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,pointDifferential,Point Differential,DIFF,Point Differential,DIFF,pointdifferential,-283,-283.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,pointsAgainst,Points Against,PA,Total Points Against,PA,pointsagainst,1791,1791.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,pointsFor,Points For,PF,Total Points For,PF,pointsfor,1508,1508.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,streak,Streak,STRK,Current Streak,STRK,streak,-,0.0
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,winPercent,Win Percentage,PCT,Winning Percentage,PCT,winpercent,.250,0.25
2006,1,America East Conference,aeast,Am. East,399,s:40~l:54~t:399,,UAlbany,Great Danes,UALB,UAlbany Great Danes,UAlbany,,,https://a.espncdn.com/i/teamlogos/ncaa/500/399.png,wins,Wins,W,Wins,W,wins,7,7.0
